Mina;Destino;Tipo Material;Grupo ;Distancia;Rango;Pertenencia;;
PP ESTERIL SANDRA K;Carla;Esteril;AMS;16,7; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Coliseo;Esteril;AMS;20,1; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Contratistas;Esteril;AMS;5,5; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Donacion;Esteril;AMS;5,5; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Donacion I;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Esterilsilencio (Alianza Minera);Esteril;AMS;20; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Exploracion;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Fase 1B;Esteril;AMS;6,4; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;La Patera;Esteril;AMS;16,2; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Machete Gold II;Esteril;AMS;6,4; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Machete Gold;Esteril;AMS;17,1; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Ni;Esteril;AMS;6,4; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Nii;Esteril;AMS;8,2; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Plaza Ñeme Ñeme;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Pampa Verde;Esteril;AMS;7,3; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Pampa Verde I;Esteril;AMS;8,8; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Planta Maria Dama;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Plaza Ñeme Ñeme I;Esteril;AMS;6,4; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Plaza Trio;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Polvorín De Beta;Esteril;AMS;6,5; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Poma Rosa;Esteril;AMS;7,3; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Relleno Higueron;Esteril;AMS;7,5; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Silencio;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Trituradora Alto De Los Muertos;Esteril;AMS;13,4; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Trituradora Poma Rosa;Esteril;AMS;9,8; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Zona Industria Silencio ;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP-ESTERIL-OME (EL BLOQUE);Ni;Esteril;OME;8,8; 8,1 a 20 ;Segovia;;
PP-ESTERIL-OME (EXPLOMINERALES);Ni;Esteril;OME;17,4; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (FUTURE GOLD);Lote Camambolo;Esteril;OME;9; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (FUTURE GOLD);Ni;Esteril;OME;8,8; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (LA CUENCA);Lote Camambolo;Esteril;OME;10; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (LA CUENCA);Ni;Esteril;OME;8,1; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (LA GINA);Shaft Providencia;Esteril;OME;10,9; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (LA RELIQUIA);Ni;Esteril;OME;9; 8,1 a 20 ;Segovia;;
PP-ESTERIL-OME (LA RELIQUIA);Shaft Providencia;Esteril;OME;11,8; 8,1 a 20 ;Segovia;;
PP-ESTERIL-OME (LA VERDOLAGA);Ni;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (LA VERDOLAGA);Ratón Pelado;Esteril;OME;4,6; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (LAS AVES);Lote Camambolo;Esteril;OME;8,3; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (MONARCA);Ni;Esteril;OME;8,1; 8,1 a 20 ;Segovia;;
PP-ESTERIL-OME (MONARCA);Plaza Trio;Esteril;OME;3; 0 a 3 ;Segovia;;
PP-ESTERIL-OME (SAN FENIX);Coliseo;Esteril;OME;3,5; 3,1 a 8 ;Segovia;;
PP-ESTERIL-OME (SAN FENIX);Ni;Esteril;OME;3,6; 3,1 a 8 ;Segovia;;
PP-ESTERIL-OME (SAN FENIX);Shaft Providencia;Esteril;OME;3,1; 3,1 a 8 ;Segovia;;
PP-ESTERIL-OME (TRES Y MEDIA);Explotaciones Gold;Esteril;OME;4,8; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (TRES Y MEDIA);Mina Inversiones Extra;Esteril;OME;3,1; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME (TRES Y MEDIA);Ni;Esteril;OME;8,2; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (TRES Y MEDIA);Sandra K;Esteril;OME;15; 8,1 a 20 ;Remedios;;
PP-ESTERIL-OME (TRES Y MEDIA);Silencio;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP-ESTERIL-OME ALIANZA MINER (SK3,7);Ni;Esteril;OME;3; 0 a 3 ;Segovia;;
PP-ESTERIL-OME ALIANZA MINER (SK3,7);Alto De Utiquio;Esteril;OME;4,2; 3,1 a 8 ;Segovia;;
PP-ESTERIL-OME ALIANZA MINER (SK3,7);Poma Rosa;Esteril;OME;7,5; 3,1 a 8 ;Segovia;;
TRITURADORA CHISPERO;Mina Carla;Esteril;AMS;19,7; 8,1 a 20 ;Segovia;;
TRITURADORA CHISPERO;Mina Silencio;Esteril;AMS;17,5; 8,1 a 20 ;Segovia;;
TRITURADORA CHISPERO;Pampa Verde;Esteril;AMS;20,9; 8,1 a 20 ;Segovia;;
TRITURADORA CHISPERO;Plaza Ñeme Ñeme;Esteril;AMS;17,5; 8,1 a 20 ;Segovia;;
TRITURADORA CHISPERO;Mina Providencia;Esteril;AMS;20,9; 8,1 a 20 ;Segovia;;
TRITURADORA CHISPERO;Mina Sandra K;Esteril;AMS;26,7; 8,1 a 20 ;Segovia;;
PP ESTERIL SANDRA K;Arreglos Zonas Varias;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Mina Carla;Esteril;AMS;7,5; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - PORTAL 500;Plaza Trio;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO - PORTAL 500;Ratón Pelado;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL SANDRA K;Campo Alegre;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP-ESTERIL-OME (LA RELIQUIA);Ratón Pelado;Esteril;OME;3; 0 a 3 ;Segovia;;
PP-ESTERIL-OME (LA RELIQUIA);Planta Maria Dama;Esteril;OME;3; 0 a 3 ;Segovia;;
PP-ESTERIL-OME (LA GINA);Plaza Trio;Esteril;OME;5; 3,1 a 8 ;Remedios;;
PP ESTERIL PROVIDENCIA;Portal 500;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP-ESTERIL-OME (TRES Y MEDIA);Casa Pampa Verde;Esteril;OME;7; 3,1 a 8 ;Remedios;;
PP ESTERIL SANDRA K;Alto De Los Muertos;Esteril;AMS;12; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Terrazas;Esteril;AMS;18; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO;Terrazas;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Terrazas;Esteril;AMS;14; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;La Reliquia;Esteril;AMS;19; 8,1 a 20 ;NA;;
